"","X1","X2","value","condition"
"1","X1","EPENDYMA",5.49036091218446e-05,"SKA2_KD_week2"
"2","X2","EPENDYMA",0,"SKA2_KD_week2"
"3","X3","EPENDYMA",0,"SKA2_KD_week2"
"4","X4","EPENDYMA",0,"SCR_week2"
"5","X5","EPENDYMA",0,"SCR_week2"
"6","X6","EPENDYMA",0,"SCR_week2"
"7","X7","EPENDYMA",0,"SKA2_KD_week2"
"8","X8","EPENDYMA",0,"SKA2_KD_week2"
"9","X9","EPENDYMA",0,"SCR_week2"
"10","X10","EPENDYMA",0,"SCR_week2"
"11","X11","EPENDYMA",0,"SCR_week2"
"12","X12","EPENDYMA",0,"SKA2_KD_week2"
"13","X13","EPENDYMA",0,"SKA2_KD_week2"
"14","X14","EPENDYMA",0,"SCR_week2"
"15","X15","EPENDYMA",0,"SKA2_KD_week2"
"16","X16","EPENDYMA",0,"SCR_week2"
"17","X17","EPENDYMA",0,"SCR_week4"
"18","X18","EPENDYMA",0.000391034778993855,"SKA2_KD_week4"
"19","X19","EPENDYMA",0.00105848556424799,"SKA2_KD_week4"
"20","X20","EPENDYMA",0.000250095260220342,"SKA2_KD_week4"
"21","X21","EPENDYMA",0,"SCR_week4"
"22","X22","EPENDYMA",0.000256967172064378,"SKA2_KD_week4"
"23","X23","EPENDYMA",0,"SCR_week4"
"24","X24","EPENDYMA",0.000537305335171476,"SKA2_KD_week4"
"25","X25","EPENDYMA",0.000610740676229472,"SKA2_KD_week4"
"26","X26","EPENDYMA",0,"SKA2_KD_week4"
"27","X27","EPENDYMA",0,"SCR_week4"
"28","X28","EPENDYMA",0,"SCR_week4"
"29","X29","EPENDYMA",0,"SCR_week4"
"30","X30","EPENDYMA",0,"SKA2_KD_week4"
"31","X31","EPENDYMA",0,"SCR_week4"
"32","X32","EPENDYMA",0,"SCR_week4"
"33","X1","NEURON",0.289708782730607,"SKA2_KD_week2"
"34","X2","NEURON",0.524412300093627,"SKA2_KD_week2"
"35","X3","NEURON",0.490824862381088,"SKA2_KD_week2"
"36","X4","NEURON",0.712043697047184,"SCR_week2"
"37","X5","NEURON",0.634911917685689,"SCR_week2"
"38","X6","NEURON",0.706394378582496,"SCR_week2"
"39","X7","NEURON",0.40687346625544,"SKA2_KD_week2"
